,id,predicted aspect term,true aspect term
152,609:1,"{'games', 'price', 'osx'}","{'price', 'osx', 'support for games'}"
153,101:1,set(),{'mobility'}
154,7:23,set(),set()
155,1126:1,set(),set()
156,668:1,set(),set()
157,799:1,{'price'},{'price'}
158,156:1,{'set up'},{'set up'}
159,29:318,set(),{'usb3'}
160,787:622,set(),set()
161,480:7,{'sound'},{'sound'}
162,720:1,{'track pad'},{'track pad'}
163,787:717,set(),set()
164,229:1,set(),set()
165,934:0,set(),set()
166,387:1,set(),set()
167,1122:5,set(),{'settings'}
168,7:22,set(),set()
169,439:1,set(),set()
170,386:1,set(),set()
171,1063:180,{'openoffice'},{'openoffice'}
172,627:1,{'battery life'},"{'battery life', 'form factor', 'ux'}"
173,302:1,{'switch'},set()
174,792:1,set(),set()
175,876:1,"{'screen', 'keyboard'}","{'screen', 'keyboard'}"
176,1113:1,set(),set()
177,536:1,set(),set()
178,998:1,{'touchpad'},{'touchpad'}
179,292:1,set(),set()
180,104:1,set(),{'mavericks'}
181,787:711,set(),set()
182,517:1,set(),set()
183,1049:1,set(),set()
184,218:1,set(),{'i5'}
185,622:1,set(),set()
186,787:648,set(),set()
187,826:1,set(),set()
188,850:1,{'s'},set()
189,79:1,"{'service', 'shipping'}","{'service', 'shipping'}"
190,787:725,set(),set()
191,842:7,set(),set()
192,29:367,{'minis'},set()
193,16:1,"{'applications', 'performance', 'built in', 'camera', 'iphoto'}","{'built in applications', 'performance', 'iphoto'}"
194,29:358,set(),set()
195,895:1,{'hard drive'},"{'hard drive', 'samsung 830 ssd'}"
196,836:1,{'six'},set()
197,1087:1,set(),set()
198,846:2,set(),set()
199,1063:165,set(),set()
200,335:1,set(),set()
201,342:1,set(),set()
202,442:1,set(),set()
203,534:1,set(),set()
204,905:2,set(),set()
205,1071:1,set(),set()
206,714:1,set(),{'starts up'}
207,904:1,set(),set()
208,252:1,set(),set()
209,787:497,set(),set()
210,786:876,set(),{'aluminum'}
211,1091:1,set(),set()
212,385:1,set(),set()
213,566:1,"{'control', 'built in'}",{'built in virus control'}
214,491:1,{'display'},{'retina display'}
215,107:1,set(),set()
216,690:1,set(),set()
217,278:5,{'components'},{'components'}
218,732:1,set(),set()
219,787:682,set(),set()
220,155:1,set(),set()
221,337:1,{'hardware'},{'hardware'}
222,857:1,"{'snow', 'battery'}","{'battery', 'snow lion'}"
223,777:1,set(),set()
224,927:1,{'shipping'},{'shipping'}
225,29:428,set(),set()
226,419:1,{'slip'},set()
227,787:429,set(),set()
228,679:1,{'features'},{'features'}
229,476:1,set(),set()
230,585:1,set(),set()
231,503:1,{'quality'},{'quality'}
232,1040:1,{'keyboard'},{'keyboard'}
233,842:9,set(),set()
234,982:1,{'sound quality'},{'sound quality'}
235,748:1,{'navigate'},{'navigate'}
236,170:1,set(),set()
237,1063:159,set(),set()
238,989:1,{'battery life'},{'battery life'}
239,765:1,"{'performance', 'quality'}","{'performance', 'quality'}"
240,1030:4,set(),set()
241,502:1,set(),set()
242,462:1,"{'windows 7', 'windows vista', 'windows xp'}","{'windows 7', 'windows vista', 'windows xp'}"
243,914:1,set(),set()
244,890:1,set(),set()
245,124:1,"{'drive', 'memory'}","{'memory', 'ssd drive'}"
246,790:0,set(),set()
247,896:1,set(),set()
248,269:1,set(),"{'start up', 'itune'}"
249,29:369,set(),set()
250,332:1,{'os'},{'os'}
251,869:1,set(),set()
252,787:628,"{'charging', 'touch cables', 'material'}","{'restore disks', 'charging cables', 'material'}"
253,300:1,set(),{'graphic design'}
254,320:1,set(),set()
255,964:1,set(),set()
256,29:312,"{'external mics', 'imac'}",{'external mics'}
257,580:1,{'os'},{'os'}
258,478:1,set(),set()
259,1027:1,"{'screen', 'works'}",{'screen'}
260,647:1,set(),set()
261,705:1,set(),{'works'}
262,873:1,{'system'},{'system'}
263,633:1,set(),"{'customize setting', 'create your own bookmarks'}"
264,276:1,set(),set()
265,105:1,"{'hdmi cable', 'mouse', 'keyboard', 'wireless'}","{'hdmi cable', 'wireless keyboard / mouse'}"
266,89:1,set(),set()
267,1076:1,"{'features', 'price'}","{'features', 'price', 'working'}"
268,112:1,{'gaming'},{'gaming'}
269,832:17,{'multi'},set()
270,453:1,{'operating system'},{'operating system'}
271,733:1,set(),set()
272,179:1,{'set up'},{'set up'}
273,900:1,"{'hard drive', 'boots up'}","{'hard drive', 'boots up'}"
274,1:26,set(),{'scanning'}
275,874:1,set(),set()
276,993:1,{'price'},{'price point'}
277,122:1,set(),set()
278,945:1,set(),{'works'}
279,542:1,{'life'},set()
280,709:1,set(),"{'surfing', 'working'}"
281,771:1,set(),set()
282,87:1,"{'software', 'works'}","{'software', 'works'}"
283,984:1,set(),set()
284,600:1,set(),set()
285,0:1,"{'word processing', 'web browsing'}","{'gaming', 'programming', 'word processing', 'web browsing'}"
286,91:1,set(),set()
287,477:1,set(),{'function'}
288,786:537,{'technical pearls'},set()
289,383:1,{'performance'},{'performance'}
290,160:19,{'bag'},"{'apple ""help""'}"
291,358:1,set(),set()
292,268:1,{'work'},{'work'}
293,508:1,set(),set()
294,279:0,set(),{'harddrive'}
295,200:1,{'switch'},{'on/off switch'}
296,29:1053,set(),set()
297,28:1,set(),{'instructions'}
298,2:1,set(),"{'gaming', 'integrated intel 4000 graphics'}"
299,919:1,set(),set()
300,231:1,"{'features', 'quality'}",{'features'}
301,923:1,"{'video', 'photo'}","{'photo editing', 'audio', 'content creation', 'video'}"
302,59:1,set(),set()
303,462:8,{'screen'},{'screen'}
304,102:1,set(),set()
305,382:15,{'brightness'},{'brightness'}
306,787:137,set(),set()
307,227,{'applications'},{'applications'}
308,670:1,set(),{'use'}
309,920:1,set(),set()
310,880:1,{'use'},{'use'}
311,1063:184,set(),set()
312,745:1,"{'processor', 'speeds'}",{'i5 processor'}
313,261:2,set(),set()
314,889:1,"{'built in', 'features'}",{'built in features'}
315,980:1,set(),set()
316,1094:1,{'keyboard'},"{'screen', 'keyboard'}"
317,1067:5,set(),set()
318,575:1,{'delivery'},{'delivery'}
319,373:0,set(),set()
320,165:1,{'16gb ram'},"{'16gb ram', 'ssd'}"
321,972:1,{'memory'},{'memory'}
322,505:1,set(),set()
323,796:1,set(),{'works'}
324,275:1,set(),set()
325,1138:1,"{'design', 'keyboard'}","{'design', 'ports', 'keyboard'}"
326,230:1,set(),set()
327,322:1,"{'service', 'beats'}",{'service'}
328,206:1,set(),set()
329,16:2,"{'safari', 'browser', 'web browsing'}","{'safari browser', 'web browsing'}"
330,665:1,set(),set()
331,481:1,set(),{'lighted screen'}
332,23:1,set(),set()
333,948:1,"{'use', 'start up'}","{'use', 'start up'}"
334,307:1,{'operation'},{'operation'}
335,787:372,set(),set()
336,29:319,{'thunderbolt'},"{'thunderbolt', 'usb3 peripherals'}"
337,1063:162,set(),set()
338,842:1,{'warranty'},{'warranty'}
339,471:1,set(),set()
340,894:1,set(),{'media editing'}
341,828:1,set(),set()
342,391:1,{'battery'},"{'battery', 'user experience'}"
343,680:1,set(),set()
344,787:726,set(),set()
345,949:1,"{'price', 'shipment'}","{'price', 'shipment'}"
346,824:1,"{'performance', 'response'}","{'performance', 'presentation', 'time response', 'usability'}"
347,999:1,"{'size', 'space'}",{'size'}
348,29:310,{'mac os'},{'mac os'}
349,786:784,set(),set()
350,456:1,"{'programs (appleworks', 'photoshop'}","{'quicken', 'legacy programs', 'filemaker pro', 'photoshop', 'appleworks'}"
351,450:1,{'resume'},set()
352,708:1,{'operating system'},{'operating system'}
353,787:116,set(),set()
354,376:1,set(),{'form factor'}
355,806:1,{'technical'},set()
356,201:1,set(),{'loading the internet'}
357,763:1,set(),{'looking'}
358,787:523,set(),set()
359,962:1,"{'support', 'runs', 'microsoft'}","{'support', 'xp'}"
360,375:1,set(),set()
361,281:1,"{'build', 'type', 'keyboard', 'os'}","{'overall build', 'keyboard', 'os'}"
362,1108:1,set(),set()
363,99:1,set(),set()
364,926:1,{'system'},"{'construction', 'system'}"
365,673:1,set(),set()
366,829:1,{'construction'},{'unibody construction'}
367,473:1,set(),set()
368,318:1,{'runs'},{'runs'}
369,29:452,{'***the'},set()
370,786:1477,{'drive'},{'disk drive'}
371,29:783,{'sd card'},"{'hdmi receptacle', 'sd card slot'}"
372,800:1,set(),set()
373,758:1,set(),{'works'}
374,787:683,set(),set()
375,355:1,{'design'},{'design app'}
376,335:0,set(),{'trackpad'}
377,786:66,set(),set()
378,674:1,set(),set()
379,706:1,set(),"{'finish', 'looks', 'feels'}"
380,697:13,set(),set()
381,671:1,{'price'},{'price'}
382,787:720,set(),set()
383,460:1,{'system'},"{'system', 'power down'}"
384,985:1,set(),set()
385,786:723,{'configuration'},{'configuration'}
386,1171:1,{'speakers'},{'speakers'}
387,787:240,set(),set()
388,515:1,"{'looks', 'trackpad', 'use'}","{'looks', 'trackpad', 'use'}"
389,12:1,set(),set()
390,786:458,set(),{'web surfuring'}
391,786:759,set(),set()
392,520:2,"{'portability', 'interface'}","{'portability', 'interface'}"
393,496:1,set(),set()
394,952:1,"{'works', 'handle'}","{'works', 'carry', 'handle'}"
395,1135:1,set(),set()
396,394:1,"{'performance', 'battery lifetime', 'hardware'}","{'performance', 'hardware (keyboard)', 'battery lifetime'}"
397,29:459,{'customer'},set()
398,526:1,{'runs'},{'runs'}
399,25:1,set(),{'footprint'}
400,947:1,set(),set()
401,379:1,set(),{'exterior'}
402,1072:1,set(),set()
403,1140:1,{'performance'},{'performance'}
404,29:1213,set(),set()
405,204:1,"{'design', 'intel'}","{'design', 'intel 4000 graphics chipset'}"
406,405:1,set(),set()
407,29:226,{'osx'},"{'mavericks', 'osx mountain lion'}"
408,548:1,set(),set()
409,786:713,{'usb ports'},{'usb ports'}
410,596:1,set(),set()
411,898:3,{'lid'},"{'lid', 'wakes'}"
412,860:1,"{'size', 'speed'}","{'size', 'speed'}"
413,695:1,set(),set()
414,555:1,{'customer service'},{'customer service'}
415,1007:1,set(),set()
416,959:1,"{'""17""""""', 'gaming', 'built'}",{'performed'}
417,908:1,"{'scratches', 'battery cycle', 'hardware'}","{'battery cycle count', 'hardware'}"
418,181:1,"{'internet', 'os'}",{'os'}
419,1029:1,set(),set()
420,787:193,{'mouse'},"{'mouse', 'finger swipes'}"
421,447:1,"{'storage', 'screen'}","{'storage', 'photoshop', 'screen'}"
422,928:1,"{'speaker quality', 'mac'}","{'speaker quality', 'mac os'}"
423,739:1,set(),set()
424,776:1,{'shipped'},{'shipped'}
425,29:396,set(),set()
426,787:568,{'thunderbolt port'},{'thunderbolt port'}
427,877:1,{'tech'},set()
428,691:1,{'performance'},{'performance'}
429,242:1,set(),"{'streaming video', 'entertainment uses'}"
430,787:606,set(),set()
431,567:1,"{'design', 'features'}","{'design', 'features'}"
432,507:1,set(),{'mac office'}
433,118:1,set(),set()
434,579:1,"{'variables(which', 'tech support'}",{'apple tech support'}
435,19:0,"{'2012', 'spec'}",{'spec'}
436,341:1,set(),{'works'}
437,816:1,{'use'},"{'looks', 'use'}"
438,1075:1,{'office'},{'office'}
439,689:1,{'display'},{'retina display'}
440,92:1,set(),set()
441,313:1,{'performance'},"{'performance', 'ssd'}"
442,286:1,set(),"{'magsafe 2 connection', 'magsafe accessories'}"
443,296:1,set(),set()
444,1074:1,"{'mouse', 'touchpad'}","{'mouse', 'touchpad'}"
445,393:0,set(),set()
446,202:1,"{'fans', 'runs'}","{'fans', 'runs'}"
447,414:1,{'mac os'},{'mac os'}
448,645:1,set(),set()
449,786:867,set(),{'mac ecosystem'}
450,533:1,{'price'},{'price'}
451,786:886,set(),set()
452,1131:1,"{'appearance', 'functionality'}","{'appearance', 'use', 'functionality'}"
453,262:1,set(),set()
454,271:1,set(),set()
455,788:1,set(),set()
456,191:1,set(),set()
457,787:417,set(),set()
458,40:1,set(),set()
459,662:1,{'design'},{'graphic design'}
460,205:1,set(),set()
461,365:0,{'savvy'},set()
462,554:1,set(),set()
463,786:1473,set(),{'slot'}
464,810:1,set(),set()
465,289:5,{'os'},{'os'}
466,931:1,set(),set()
467,274:1,set(),set()
468,1105:1,set(),set()
469,409:1,"{'9', '11'}",set()
470,849:1,set(),set()
471,843:3,{'use'},{'use'}
472,787:905,set(),set()
473,693:1,set(),set()
474,472:1,set(),set()
475,938:1,set(),{'ssd'}
476,909:1,set(),set()
477,290:1,set(),set()
478,15:1,set(),set()
479,968:5,{'built in'},"{'voice recording', 'built in camera'}"
480,421:1,set(),set()
481,922:1,set(),set()
482,29:742,set(),{'start up'}
483,29:733,set(),set()
484,294:0,{'functionality'},{'functionality'}
485,547:17,set(),{'function'}
486,463:9,{'graphics'},{'graphics'}
487,275:7,"{'build quality', 'unibody construction'}","{'build quality', 'unibody construction'}"
488,868:1,set(),set()
489,286:3,set(),{'flexibility for connectivity'}
490,786:1275,{'portability'},{'portability'}
491,721:1,set(),set()
492,29:172,set(),{'mac tutorials'}
493,1031:1,set(),set()
494,1063:397,{'technical support'},{'technical support'}
495,1063:373,set(),{'adapter'}
496,1063:374,{'support'},{'technical support'}
497,740:1,set(),set()
498,820:1,set(),set()
499,29:186,"{'garage band', 'iphoto'}","{'garage band', 'iphoto'}"
500,29:237,set(),set()
501,26:4,{'board'},{'logic board'}
502,293:8,set(),set()
503,1063:396,"{'sound', 'volume'}","{'sound', 'volume'}"
504,936:1,set(),set()
505,271:3,set(),set()
506,271:4,{'osx'},{'osx lion'}
507,189:1,set(),set()
508,29:138,set(),set()
509,479:5,set(),{'application'}
510,462:6,set(),{'physical form'}
511,29:363,{'the'},set()
512,791:1,set(),set()
513,0:3,{'body'},{'body'}
514,461:17,{'unibody construction'},{'unibody construction'}
515,1010:1,set(),set()
516,790:1,set(),set()
517,730:1,{'supports'},set()
518,0:14,set(),{'3d rendering'}
519,22:0,{'os x'},{'os x mountain lion'}
520,547:1,set(),set()
521,468:1,set(),set()
522,420:1,"{'screen', 'cost', 'apps'}","{'screen', 'cost', 'priced', 'apps'}"
523,872:1,{'boot'},{'boot'}
524,731:5,{'ports'},{'ports'}
525,267:1,"{'mouse', 'imac', 'card', 'quad core', 'cpu', 'wireless', 'radeon hd', 'keyboard'}","{'wireless apple keyboard and mouse', 'radeon hd 6750m 512mb graphic card', 'integrated intel 4000 card', 'package', 'quad core 2.5 ghz cpu'}"
526,419:2,set(),{'cover'}
527,291:6,{'gestures'},{'gestures'}
528,786:633,set(),"{'cable', 'extender cable'}"
529,630:1,set(),set()
530,293:3,{'i7 chip'},{'2.9ghz dual core i7 chip'}
531,676:1,set(),set()
532,564:1,set(),set()
533,786:1277,set(),{'starts up'}
534,786:1295,set(),set()
535,463:26,set(),"{'heat', 'noise'}"
536,1101:1,{'windows'},{'windows 8'}
537,204:4,set(),set()
538,71:1,{'cd drive'},{'internal cd drive'}
539,997:1,"{'network', 'hard drive'}","{'hard drive', 'network lights'}"
540,573:1,set(),set()
541,199:1,set(),set()
542,464:1,set(),set()
543,441:1,{'design'},set()
544,289:1,{'priced'},{'priced'}
545,918:1,set(),set()
546,38:1,set(),set()
547,98:1,"{'storage', 'ports'}","{'storage', 'ports'}"
548,152:1,set(),set()
549,786:1193,"{'audio', 'background activity', 'volume'}",{'audio volume'}
550,747:1,{'quality'},set()
551,7:1,{'numbers'},set()
552,389:1,"{'size', 'carry'}",{'size'}
553,921:1,set(),set()
554,786:292,set(),set()
555,383:3,set(),set()
556,213:1,set(),set()
557,870:1,set(),set()
558,659:1,{'switch'},set()
559,787:207,{'windows'},{'windows 8'}
560,313:0,set(),set()
561,314:3,set(),set()
562,314:67,set(),{'capabilities'}
563,339:4,set(),{'settings'}
564,349:1,{'runs'},{'runs'}
565,360:0,set(),set()
566,363:5,set(),set()
567,367:0,set(),set()
568,786:1355,"{'boot up', 'windows updates'}","{'boot up', 'windows updates'}"
569,7:21,{'board'},{'logic board'}
570,375:3,set(),set()
571,1056:1,"{'gaming', 'design', 'word processing', 'internet'}","{'gaming', 'word processing', 'graphic design', 'internet'}"
572,375:4,set(),set()
573,227:1,"{'features', 'mouse click'}","{'features', 'tutorial', 'setup', 'right mouse click menu', 'install'}"
574,375:10,set(),set()
575,376:4,set(),set()
576,378:1,{'runs'},{'runs'}
577,375:5,set(),set()
578,494:1,{'ram memory'},{'ram memory'}
579,786:1170,set(),{'profile'}
580,320:15,set(),set()
581,329:2,set(),set()
582,1077:1,"{'usb ports', 'disk drive', 'wifi'}","{'wifi capability', 'usb ports', 'disk drive'}"
583,1053:13,"{'sd card reader', 'card'}","{'sd card reader', 'nail slot on the card', 'slot'}"
584,615:1,"{'touch', 'cut precision'}","{'anodized aluminum', 'touch'}"
585,787:873,set(),"{'glass', 'aluminium'}"
586,261:0,set(),{'aluminum'}
587,336:0,set(),set()
588,115:1,"{'hard drive', 'of ram'}","{'seagate momentus xt hybrid drives', 'hard drive', '16gb of ram', 'owc upgrade kit'}"
589,843:1,"{'keyboard', 'pad'}",{'number pad on the keyboard'}
590,338:0,set(),set()
591,385:11,set(),set()
592,578:1,{'hard drive'},{'regular hard drive'}
593,523:1,{'cd slot'},{'cd slot'}
594,754:11,{'hdmi port'},{'hdmi port'}
595,787:619,set(),{'install mountain lion'}
596,266:25,set(),{'customization'}
597,385:14,set(),set()
598,314:68,set(),set()
599,29:322,{'hd'},"{'hd', 'micron ssd'}"
600,275:12,"{'button', 'right'}","{'two finger clicking', 'right click button'}"
601,397:15,set(),set()
602,397:17,set(),{'superdrive'}
603,408:9,set(),set()
604,1035:1,"{'battery', 'charge', 'power plug', 'power adaptor'}","{'battery', 'power plug', 'power adaptor'}"
605,409:0,set(),set()
606,1064:1,{'battery'},{'battery'}
607,417:8,set(),set()
608,429:0,set(),{'practicality'}
609,398:2,{'os'},{'os'}
610,472:0,set(),set()
611,203:1,"{'case', 'hdmi'}","{'monitors', 'hdmi cables'}"
612,497:3,"{'cons', 'price'}",{'price'}
613,534:4,{'case'},set()
614,565:5,set(),set()
615,1160:2,{'ac'},{'ac adaptor'}
616,478:2,set(),set()
617,47:1,{'fan'},"{'fan', 'playing a game'}"
618,961:1,{'usb'},{'usb 2 ports'}
619,279:2,{'disk'},{'startup disk'}
620,29:1175,set(),"{'""tools"" menu'}"
621,716:1,{'word program'},{'word program'}
622,217:1,"{'drive', 'power switch'}","{'power switch', 'cd/dvd drive'}"
623,624:1,set(),set()
624,840:1,"{'windows', 'windows 7'}","{'windows 7', 'windows 8'}"
625,1130:1,set(),set()
626,690:4,set(),set()
627,121:1,{'wifi'},"{'install', 'configure for adsl cable or wifi'}"
628,721:0,set(),set()
629,1008:1,{'speakers'},{'speakers'}
630,572:0,set(),set()
631,688:0,set(),set()
632,688:1,set(),{'packing'}
633,630:10,set(),set()
634,62:1,{'windows'},{'windows'}
635,630:14,set(),set()
636,464:4,{'idvd'},{'idvd'}
637,991:1,{'windows 7'},{'windows 7'}
638,941:1,set(),{'mac system'}
639,440:1,{'windows'},{'windows'}
640,786:173,set(),set()
641,626:1,"{'software', 'works', 'os'}","{'software', 'works', 'os'}"
642,574:0,set(),set()
643,525:1,set(),{'works'}
644,644:1,set(),set()
645,757:3,set(),set()
646,786:82,{'runs'},{'runs'}
647,786:155,set(),set()
648,692:1,"{'price', 'os'}","{'price', 'os'}"
649,575:0,set(),set()
650,976:1,{'touch pad based'},{'touch pad'}
651,762:1,{'imac'},{'reliability'}
652,786:1301,{'sound'},"{'headphones', 'sound'}"
653,786:1054,{'track pad'},{'track pad'}
654,479:6,"{'application', 'os'}","{'application', 'os'}"
655,478:3,set(),set()
656,258:1,{'price'},{'price'}
657,1044:1,{'battery'},{'battery'}
658,416:1,"{'speed', 'price'}","{'speed', 'price'}"
659,29:95,set(),set()
660,367:1,{'shipping'},{'shipping'}
661,478:5,set(),set()
662,432:2,set(),set()
663,718:1,{'display display'},{'retina display display'}
664,445:22,set(),set()
665,109:1,{'computing'},{'compact computing'}
666,96:1,"{'feature', 'performance', 'hardware'}",{'performance and feature set of the hardware'}
667,448:11,set(),set()
668,450:0,set(),set()
669,316:3,set(),set()
670,786:572,"{'microphone jack', 'port', 'firewire 800', 'ethernet'}","{'magsafe port', 'microphone jack', 'firewire 800', 'ports', 'gigabit ethernet'}"
671,388:2,set(),set()
672,786:773,set(),set()
673,325:1,"{'system', 'games'}","{'ventilation system', 'watching videos', 'playing steam games'}"
674,786:594,set(),set()
675,965:1,"{'support', 'operating system'}","{'acer support', 'operating system files'}"
676,50:1,{'keys'},{'keys'}
677,326:3,{'os'},{'os'}
678,786:237,"{'office', 'mac os', 'imac'}","{'lion', 'mac os'}"
679,786:179,"{'hdd', 'ram'}","{'hdd', 'ram'}"
680,786:331,{'player'},{'cd/dvd player'}
681,786:636,{'safe'},set()
682,389:0,{'ultimate'},set()
683,347:1,"{'memory', 'ram'}",{'ram memory'}
684,786:417,set(),set()
685,316:4,set(),set()
686,500:1,"{'windows', 'os'}","{'windows', 'os.x'}"
687,301:5,set(),set()
688,303:5,set(),set()
689,574:1,{'os'},"{'softwares', 'os'}"
690,303:13,set(),set()
691,305:3,"{'mac', 'os x'}","{'mac os x 10.8 ""mountain lion""'}"
692,293:2,set(),set()
693,301:7,set(),set()
694,898:1,{'performance'},{'performance'}
695,891:1,"{'screen size', 'lcd screen', 'office', 'in', 'external'}","{'built in screen size', 'external 24"" lcd screen'}"
696,301:10,set(),set()
697,65:1,"{'software', 'cd'}","{'dvd slot', 'install software'}"
698,994:1,{'word processing program'},{'word processing program'}
699,443:1,"{'cpu', 'runs'}","{'fourth generation haswell cpu', 'third generation cpu (""ivy bridge"")'}"
700,316:1,set(),set()
701,245:1,"{'features', 'rom'}","{'cd rom', 'features'}"
702,380:1,set(),set()
703,270:1,set(),set()
704,1063:403,{'volume'},{'volume'}
705,786:1388,set(),set()
706,29:99,set(),set()
